t, E,n,m
7.65008,568880.06,765000,71
7.6600804,569566.0,766000,71
7.6700807,570249.4,767000,71
7.680081,570936.8,768000,71
7.690081,571634.9,769000,71
7.7000813,572327.44,770000,71
7.7100816,573016.9,771000,71
7.720082,573702.9,772000,71
7.730082,574390.4,773000,73
7.7400823,575073.0,774000,73
7.7500825,575753.4,775000,73
7.7600827,576431.9,776000,73
7.770083,577119.8,777000,73
7.780083,577805.4,778000,73
7.7900834,578485.2,779000,73
7.8000836,579176.06,780000,73
7.810084,579865.4,781000,73
7.820084,580560.4,782000,73
7.8300843,581262.0,783000,73
7.8400846,581952.56,784000,79
7.850085,582640.1,785000,79
7.860085,583315.75,786000,79
7.8700852,584008.75,787000,79
7.8800855,584660.75,788000,79
7.8900857,585380.4,789000,79
7.900086,586077.9,790000,79
7.910086,586770.25,791000,79
7.9200864,587460.5,792000,79
7.9300866,588146.8,793000,79
7.940087,588794.3,794000,79
7.950087,589457.75,795000,79
7.9600873,590152.2,796000,79
7.9700875,590838.25,797000,79
7.9800878,591529.75,798000,79
7.990088,592230.6,799000,79
8.000088,592917.1,800000,79
8.010088,593609.1,801000,79
8.020088,594273.8,802000,79
8.030088,594973.94,803000,79
8.040089,595648.4,804000,79
8.050089,596305.6,805000,79
8.060089,596971.5,806000,79
8.070089,597657.25,807000,79
8.08009,598319.94,808000,79
8.09009,599005.9,809000,79
8.10009,599704.7,810000,79
8.11009,600381.7,811000,79
8.1200905,601052.1,812000,79
8.130091,601725.44,813000,79
8.140091,602399.56,814000,79
8.150091,603076.7,815000,79
8.160091,603741.75,816000,79
8.170092,604421.8,817000,79
8.180092,605104.75,818000,79
8.190092,605791.8,819000,79
8.200092,606480.6,820000,79
8.210093,607147.7,821000,79
8.220093,607817.6,822000,79
8.230093,608490.2,823000,79
8.240093,609166.5,824000,79
8.250093,609839.7,825000,79
8.260094,610522.0,826000,79
8.270094,611189.4,827000,79
8.280094,611879.25,828000,79
8.290094,612579.25,829000,79
8.300095,613256.1,830000,79
8.310095,613937.06,831000,79
8.320095,614599.4,832000,79
8.330095,615291.25,833000,79
8.3400955,615949.94,834000,79
8.350096,616644.6,835000,79
8.360096,617324.9,836000,79
8.370096,618002.06,837000,79
8.380096,618694.8,838000,79
8.390097,619358.4,839000,79
8.400097,620054.06,840000,79
8.410097,620729.56,841000,79
8.420097,621414.44,842000,79
8.430098,622087.6,843000,79
8.440098,622761.25,844000,79
8.450098,623428.3,845000,79
8.460098,624092.1,846000,79
8.4700985,624753.5,847000,79
8.480099,625445.4,848000,79
8.490099,626129.06,849000,79
8.500099,626793.5,850000,79
8.510099,627457.3,851000,79
8.5201,628136.6,852000,79
8.5301,628816.1,853000,79
8.5401,629507.44,854000,79
8.5501,630202.3,855000,79
8.560101,630862.75,856000,79
8.570101,631503.9,857000,79
8.580101,632180.25,858000,79
8.590101,632862.25,859000,79
8.600101,633553.5,860000,79
8.610102,634236.56,861000,79
8.620102,634906.75,862000,79
8.630102,635580.56,863000,79
8.640102,636257.7,864000,79
8.650103,636923.9,865000,79
8.660103,637600.25,866000,79
8.670103,638277.8,867000,79
8.680103,638957.5,868000,79
8.690104,639637.6,869000,79
8.700104,640310.5,870000,79
8.710104,640993.75,871000,79
8.720104,641674.56,872000,79
8.730104,642350.25,873000,79
8.740105,643012.0,874000,79
8.750105,643682.06,875000,80
8.760105,644346.06,876000,80
8.770105,645025.3,877000,80
8.780106,645711.2,878000,80
8.790106,646390.9,879000,80
8.800106,647069.9,880000,80
8.810106,647748.06,881000,80
8.8201065,648422.5,882000,80
8.830107,649106.1,883000,80
8.840107,649771.2,884000,80
8.850107,650440.0,885000,80
8.860107,651108.9,886000,80
8.870108,651781.94,887000,80
8.880108,652458.5,888000,80
8.890108,653132.44,889000,80
8.900108,653801.1,890000,80
8.910109,654481.75,891000,80
8.920109,655163.2,892000,80
8.930109,655835.3,893000,80
