t, E, n
7.950087, 249616.27, 1000
7.9600873, 249755.53, 1000
7.9700875, 249500.31, 1000
7.9800878, 249652.3, 1000
7.990088, 249646.81, 1000
8.000088, 249775.39, 1000
8.010088, 250030.62, 1000
8.020088, 249908.6, 1000
8.030088, 250038.42, 1000
8.040089, 249827.72, 1000
8.050089, 249867.86, 1000
8.060089, 249711.08, 1000
8.070089, 249738.77, 1000
8.08009, 249851.5, 1000
8.09009, 249911.14, 1000
8.10009, 249876.1, 1000
8.11009, 249823.52, 1000
8.1200905, 249704.58, 1000
8.130091, 249438.5, 1000
8.140091, 249432.25, 1000
8.150091, 249456.72, 1000
8.160091, 249520.23, 1000
8.170092, 249600.44, 1000
8.180092, 249451.62, 1000
8.190092, 249285.75, 1000
8.200092, 249362.83, 1000
8.210093, 249139.55, 1000
8.220093, 249265.64, 1000
8.230093, 249182.2, 1000
8.240093, 249177.84, 1000
8.250093, 248921.77, 1000
8.260094, 248813.05, 1000
8.270094, 248755.83, 1000
8.280094, 248695.45, 1000
8.290094, 248477.38, 1000
8.300095, 248337.08, 1000
8.310095, 248287.48, 1000
8.320095, 247979.22, 1000
8.330095, 248142.27, 1000
8.3400955, 248187.66, 1000
8.350096, 248044.56, 1000
8.360096, 248166.6, 1000
8.370096, 248304.77, 1000
8.380096, 248457.83, 1000
8.390097, 248457.62, 1000
8.400097, 248419.81, 1000
8.410097, 248346.58, 1000
8.420097, 248168.69, 1000
8.430098, 248328.98, 1000
8.440098, 248214.78, 1000
8.450098, 248033.36, 1000
8.460098, 247859.67, 1000
8.4700985, 247800.34, 1000
8.480099, 247687.86, 1000
8.490099, 247567.64, 1000
8.500099, 247551.92, 1000
8.510099, 247256.25, 1000
8.5201, 247283.66, 1000
8.5301, 247576.42, 1000
8.5401, 247523.67, 1000
8.5501, 247460.66, 1000
8.560101, 247259.56, 1000
8.570101, 247334.62, 1000
8.580101, 247111.36, 1000
8.590101, 247397.61, 1000
8.600101, 247196.4, 1000
8.610102, 247169.11, 1000
8.620102, 247224.12, 1000
8.630102, 247110.19, 1000
8.640102, 247077.52, 1000
8.650103, 247313.77, 1000
8.660103, 247306.78, 1000
8.670103, 247560.33, 1000
8.680103, 247306.11, 1000
8.690104, 247279.36, 1000
8.700104, 247112.34, 1000
8.710104, 247095.19, 1000
8.720104, 247016.34, 1000
8.730104, 246873.16, 1000
8.740105, 246685.11, 1000
8.750105, 246812.22, 1000
8.760105, 246766.56, 1000
8.770105, 246719.28, 1000
8.780106, 246626.55, 1000
8.790106, 246486.11, 1000
8.800106, 246635.16, 1000
8.810106, 246650.66, 1000
8.8201065, 246761.14, 1000
8.830107, 246788.94, 1000
8.840107, 246551.78, 1000
8.850107, 246639.9, 1000
8.860107, 246731.34, 1000
8.870108, 246559.0, 1000
8.880108, 246550.22, 1000
8.890108, 246614.39, 1000
8.900108, 246370.92, 1000
8.910109, 246593.36, 1000
8.920109, 246293.17, 1000
8.930109, 246013.5, 1000
8.940109, 246018.48, 1000
8.9501095, 245810.39, 1000
8.96011, 245702.78, 1000
8.97011, 245869.0, 1000
8.98011, 245923.69, 1000
8.99011, 245738.14, 1000
9.000111, 245504.36, 1000
9.010111, 245376.16, 1000
9.020111, 245553.86, 1000
9.030111, 245467.16, 1000
9.040112, 245284.94, 1000
9.050112, 245345.92, 1000
9.060112, 245441.58, 1000
9.070112, 245360.38, 1000
9.080112, 245404.67, 1000
9.090113, 245652.6, 1000
9.100113, 245728.73, 1000
9.110113, 245556.97, 1000
9.120113, 245418.67, 1000
9.130114, 245390.39, 1000
9.140114, 245556.78, 1000
9.150114, 245246.19, 1000
9.160114, 245310.5, 1000
9.1701145, 245285.44, 1000
9.180115, 245211.64, 1000
9.190115, 245253.45, 1000
10,0,1000
