t, n, Tsim, deviation, collisionCount
223.80905, 80,0.0,0,2
223.85905, 80,0.0,0,5
223.90906, 80,0.0,0,5
223.95906, 80,0.0,0,4
224.00906, 80,0.0,0,7
224.05907, 80,0.0,0,4
224.10907, 80,0.0,0,2
224.15907, 80,0.0,0,6
224.20908, 80,0.0,0,2
224.25908, 80,0.0,0,3
224.30908, 80,0.0,0,3
224.35909, 80,0.0,0,4
224.40909, 80,0.0,0,4
224.45909, 80,0.0,0,5
224.5091, 80,0.0,0,4
224.5591, 80,0.0,0,5
224.6091, 80,0.0,0,6
224.6591, 80,0.0,0,4
224.7091, 80,0.0,0,5
224.75911, 80,0.0,0,10
224.80911, 80,0.0,0,8
224.85912, 80,0.0,0,6
224.90912, 80,0.0,0,9
224.95912, 80,0.0,0,6
225.00912, 80,0.0,0,4
225.05913, 80,0.0,0,1
225.10913, 80,0.0,0,4
225.15913, 80,0.0,0,3
225.20914, 80,0.0,0,1
225.25914, 80,0.0,0,3
225.30914, 80,0.0,0,3
225.35915, 80,0.0,0,1
225.40915, 80,0.0,0,1
225.45915, 80,0.0,0,1
225.60916, 80,1.0,0,2
225.65916, 80,0.0,0,1
225.75917, 80,0.0,0,3
225.80917, 80,0.0,0,3
225.85918, 80,0.0,0,1
225.90918, 80,0.0,0,1
226.1592, 80,0.0,0,2
226.2092, 80,0.0,0,2
226.2592, 80,0.0,0,2
226.3092, 80,0.0,0,1
226.40921, 80,0.0,0,2
226.45921, 80,0.0,0,1
226.70923, 80,0.0,0,1
226.75923, 80,0.0,0,2
226.80923, 80,0.0,0,2
226.90924, 80,0.0,0,2
226.95924, 80,0.0,0,2
227.00925, 80,0.0,0,1
227.35927, 80,0.0,0,3
227.40927, 80,0.0,0,1
227.60928, 80,0.0,0,1
227.9093, 80,0.0,0,7
227.9593, 80,0.0,0,7
228.00931, 80,0.0,0,10
228.05931, 80,0.0,0,9
228.10931, 80,0.0,0,6
228.15932, 80,0.0,0,8
228.20932, 80,0.0,0,5
228.25932, 80,0.0,0,8
228.30933, 80,0.0,0,8
228.35933, 80,0.0,0,5
228.40933, 80,0.0,0,11
228.45934, 80,0.0,0,13
228.50934, 80,0.0,0,17
228.55934, 80,0.0,0,16
228.60934, 80,0.0,2,17
228.65935, 80,0.0,0,12
228.70935, 80,0.0,3,10
228.75935, 80,0.0,0,10
228.80936, 80,0.0,4,7
228.85936, 80,0.0,1,5
228.90936, 80,0.0,0,6
228.95937, 80,0.0,0,6
229.00937, 80,0.0,0,5
229.05937, 80,0.0,0,4
229.10938, 80,0.0,0,5
229.15938, 80,0.0,0,2
229.20938, 80,0.0,0,3
229.25938, 80,0.0,0,4
229.30939, 80,0.0,0,3
229.35939, 80,0.0,0,4
229.4094, 80,0.0,0,4
229.4594, 80,0.0,0,4
229.5094, 80,0.0,0,1
229.5594, 80,0.0,0,3
229.6094, 80,0.0,0,1
229.70941, 80,0.0,0,3
229.75941, 80,0.0,0,4
229.80942, 80,0.0,0,2
230.05943, 80,0.0,0,2
230.10944, 80,0.0,0,8
230.15944, 80,0.0,0,4
230.20944, 80,0.0,0,3
230.25945, 80,0.0,0,5
230.30945, 80,0.0,0,1
230.40945, 80,0.0,0,2
230.50946, 80,0.0,0,3
230.55946, 80,0.0,0,2
230.60947, 80,0.0,0,2
230.65947, 80,0.0,0,3
230.70947, 80,0.0,0,4
230.75948, 80,0.0,0,6
230.80948, 80,0.0,0,2
230.85948, 80,0.0,0,2
230.90948, 80,0.0,0,1
231.1595, 80,0.0,0,1
